ITERATION	avg. Average Leg distance	avg. Average Trip distance
339	11168.724279835391	11168.724279835391	
340	11115.22633744856	11115.22633744856	
341	11102.880658436214	11102.880658436214	
342	11139.91769547325	11139.91769547325	
343	11176.954732510289	11176.954732510289	
344	11135.802469135802	11135.802469135802	
345	11144.0329218107	11144.0329218107	
346	11098.765432098766	11098.765432098766	
347	11135.802469135802	11135.802469135802	
348	11111.111111111111	11111.111111111111	
349	11176.954732510289	11176.954732510289	
350	11148.148148148148	11148.148148148148	
351	11123.456790123457	11123.456790123457	
352	11213.991769547325	11213.991769547325	
353	11106.995884773663	11106.995884773663	
354	11119.341563786009	11119.341563786009	
355	11144.0329218107	11144.0329218107	
356	11074.074074074075	11074.074074074075	
357	11078.189300411523	11078.189300411523	
358	11074.074074074075	11074.074074074075	
359	11119.341563786009	11119.341563786009	
360	11115.22633744856	11115.22633744856	
361	11189.300411522634	11189.300411522634	
362	11098.765432098766	11098.765432098766	
363	11139.91769547325	11139.91769547325	
364	11139.91769547325	11139.91769547325	
365	11135.802469135802	11135.802469135802	
366	11176.954732510289	11176.954732510289	
367	11172.839506172839	11172.839506172839	
368	11131.687242798354	11131.687242798354	
369	11189.300411522634	11189.300411522634	
370	11193.415637860082	11193.415637860082	
371	11164.609053497943	11164.609053497943	
372	11189.300411522634	11189.300411522634	
373	11119.341563786009	11119.341563786009	
374	11123.456790123457	11123.456790123457	
375	11209.876543209877	11209.876543209877	
376	11160.493827160493	11160.493827160493	
377	11115.22633744856	11115.22633744856	
378	11205.761316872427	11205.761316872427	
379	11209.876543209877	11209.876543209877	
380	11156.378600823045	11156.378600823045	
381	11185.185185185184	11185.185185185184	
382	11185.185185185184	11185.185185185184	
383	11193.415637860082	11193.415637860082	
384	11193.415637860082	11193.415637860082	
385	11185.185185185184	11185.185185185184	
386	11123.456790123457	11123.456790123457	
387	11193.415637860082	11193.415637860082	
388	11164.609053497943	11164.609053497943	
389	11135.802469135802	11135.802469135802	
390	11135.802469135802	11135.802469135802	
391	11156.378600823045	11156.378600823045	
392	11119.341563786009	11119.341563786009	
393	11131.687242798354	11131.687242798354	
394	11127.572016460905	11127.572016460905	
395	11119.341563786009	11119.341563786009	
396	11123.456790123457	11123.456790123457	
397	11156.378600823045	11156.378600823045	
398	11168.724279835391	11168.724279835391	
399	11123.456790123457	11123.456790123457	
400	11123.456790123457	11123.456790123457	
401	11156.378600823045	11156.378600823045	
402	11078.189300411523	11078.189300411523	
403	11152.263374485598	11152.263374485598	
