Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
55	17:48:13	17:48:13	17:48:13	17:48:13	17:48:13	17:48:13			17:48:13	17:48:13	17:48:13	17:48:13	17:48:24	17:48:24	17:48:24	17:48:24	17:48:24	17:48:24			17:48:27	17:48:27		00:00:00	00:00:00		00:00:00	00:00:00	00:00:11	00:00:00	00:00:00		00:00:03	00:00:14
56	17:48:28	17:48:28	17:48:28	17:48:28	17:48:28	17:48:28			17:48:28	17:48:28	17:48:28	17:48:28	17:48:41	17:48:41	17:48:41	17:48:41	17:48:41	17:48:41			17:48:41	17:48:41		00:00:00	00:00:00		00:00:00	00:00:00	00:00:12	00:00:00	00:00:00		00:00:00	00:00:13
57	17:48:42	17:48:42	17:48:42	17:48:42	17:48:42	17:48:42			17:48:42	17:48:42	17:48:42	17:48:42	17:48:52	17:48:52	17:48:52	17:48:52	17:48:52	17:48:52			17:48:52	17:48:52		00:00:00	00:00:00		00:00:00	00:00:00	00:00:10	00:00:00	00:00:00		00:00:00	00:00:10
58	17:48:53	17:48:53	17:48:53	17:48:53	17:48:53	17:48:53			17:48:53	17:48:53	17:48:53	17:48:53	17:49:02	17:49:02	17:49:02	17:49:02	17:49:02	17:49:02			17:49:02	17:49:02		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:09
59	17:49:03	17:49:03	17:49:03	17:49:03	17:49:03	17:49:03			17:49:03	17:49:03	17:49:03	17:49:03	17:49:12	17:49:12	17:49:12	17:49:12	17:49:12	17:49:12			17:49:13	17:49:13		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
60	17:49:13	17:49:13	17:49:13	17:49:13	17:49:13	17:49:13	17:49:13	17:49:13	17:49:13	17:49:13	17:49:13	17:49:13	17:49:23	17:49:23	17:49:23	17:49:23	17:49:23	17:49:23	17:49:23	17:49:23	17:49:23	17:49:23		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:09	00:00:00	00:00:00	00:00:00	00:00:00	00:00:10
61	17:49:23	17:49:23	17:49:23	17:49:23	17:49:23	17:49:23			17:49:24	17:49:24	17:49:24	17:49:24	17:49:33	17:49:33	17:49:33	17:49:33	17:49:33	17:49:33			17:49:33	17:49:33		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:09
62	17:49:33	17:49:33	17:49:33	17:49:33	17:49:33	17:49:33			17:49:33	17:49:33	17:49:33	17:49:33	17:49:43	17:49:43	17:49:43	17:49:43	17:49:43	17:49:43			17:49:43	17:49:43		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:09
63	17:49:44	17:49:44	17:49:44	17:49:44	17:49:44	17:49:44			17:49:44	17:49:44	17:49:44	17:49:44	17:49:53	17:49:53	17:49:53	17:49:53	17:49:53	17:49:53			17:49:53	17:49:53		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:09
64	17:49:53	17:49:53	17:49:53	17:49:53	17:49:53	17:49:53			17:49:54	17:49:54	17:49:54	17:49:54	17:50:03	17:50:03	17:50:03	17:50:03	17:50:03	17:50:03			17:50:04	17:50:04		00:00:00	00:00:00		00:00:00	00:00:00	00:00:09	00:00:00	00:00:00		00:00:00	00:00:10
